,Unnamed: 0,Region,Country,City,Time,Geo,Language1,Language2,Language3,Text
1982,6633,africa_sub,ao,quibala,2018-07-20,kq4duyn9bcxkct3,eng,eng,lin,personal and financial educational empowering thoughts kim and robert kiyosaki via
12198,39450,africa_sub,ao,quibala,2018-08-22,kq4duyn9bcxkct3,eng,eng,lin,congolese residents in south africa march to press katumbi s return
15120,49585,africa_sub,ao,cabinda,2018-09-18,kr08mteubt50qjt,fra,fra,lin,j aime une vidéo ezoyindela kabila boyoka didier reynders lorencou et sassou nguesso à l adresse
19654,65038,africa_sub,ao,waku kungo,2018-09-30,kmfxrvz97yesz87,eng,eng,lin,students demand government apology on deportation of patrice lumumba
23585,76874,africa_sub,ao,soyo,2018-10-08,kqbv17mnspz1g8n,swa,lin,lin,matata ya mwasi na mobali esila te na mokili mama oh mama mama ah likambo nini nzambe osala biso mibali tosalelak
24881,80389,africa_sub,ao,quibala,2018-10-11,kq4duyn9bcxkct3,eng,eng,lin,smith smith smith smith mina amate one step at a time ba bwana
24900,80439,africa_sub,ao,soyo,2018-10-11,kqbv17mnspz1g8n,eng,eng,lin,tang inang points na stratified true or false yan good bye honor roll hopes
33882,105793,africa_sub,ao,namibe,2018-10-31,km29s98upr9fmu3,fra,lin,lin,masiya azali lisekwa pasteur moise mbiye ft deborah lukalu
34528,107667,africa_sub,ao,soyo,2018-11-01,kqbv17mnspz1g8n,swa,lin,lin,vraiment bino bakonzi boza kk mitema mabe ata un jour nzambe ako tunaka bino na oyo bozo salaka na bana bato
35735,111359,africa_sub,ao,caxito,2018-11-04,kq3xnyjcyhj42kr,swa,lin,lin,ba ministre ya kin baza na nini yaka na angola na moni foto kitoko makasi penza na sepeli
36129,112646,africa_sub,ao,soyo,2018-11-05,kqbv17mnspz1g8n,swa,lin,lin,kiekiekie wana eza ba méchants ya katumbi pona kolakisa ba ndakala ke masolo ya ballon eza ye
36439,113733,africa_sub,ao,soyo,2018-11-06,kqbv17mnspz1g8n,swa,lin,lin,ba babiole bande de voleurs sonieee hii hoo haa nanu bomoni yango te boko sambua lokola mbongo ya kala ya congo
39080,122791,africa_sub,ao,soyo,2018-11-14,kqbv17mnspz1g8n,fra,fra,lin,félix tshisekedi est le super favori aux prochaines élections de décembre oboyi kondima kende komidiembika
39145,123065,africa_sub,ao,soyo,2018-11-14,kqbv17mnspz1g8n,swa,lin,lin,kiekiekie aza muana congo ya biso tshilombo
39405,123908,africa_sub,ao,soyo,2018-11-15,kqbv17mnspz1g8n,fra,lin,lin,une coalition des politiciens aventuriers miyibi càd ba voleurs toko banga bino te boya kin kosala campagne ya n
